Year,Country,Immunization,Percentage
2003,Syria,Measles,83
2004,Syria,Measles,82
2005,Syria,Measles,81
2006,Syria,Measles,81
2007,Syria,Measles,81
2008,Syria,Measles,81
2009,Syria,Measles,82
2010,Syria,Measles,82
2011,Syria,Measles,80
2012,Syria,Measles,61
2013,Syria,Measles,58
2014,Syria,Measles,54
2015,Syria,Measles,53
2016,Syria,Measles,62
2003,Ukraine,Measles,99
2004,Ukraine,Measles,99
2005,Ukraine,Measles,96
2006,Ukraine,Measles,98
2007,Ukraine,Measles,97
2008,Ukraine,Measles,94
2009,Ukraine,Measles,75
2010,Ukraine,Measles,56
2011,Ukraine,Measles,67
2012,Ukraine,Measles,79
2013,Ukraine,Measles,79
2014,Ukraine,Measles,56
2015,Ukraine,Measles,56
2016,Ukraine,Measles,42
2003,World,Measles,74.1
2004,World,Measles,76.1
2005,World,Measles,77.8
2006,World,Measles,79.6
2007,World,Measles,80
2008,World,Measles,81.6
2009,World,Measles,83.6
2010,World,Measles,84.8
2011,World,Measles,84.9
2012,World,Measles,84.5
2013,World,Measles,84.1
2014,World,Measles,84.4
2015,World,Measles,84.7
2016,World,Measles,84.9
